"sale_price"	"sq_ft_lot"	"sq_rt_price"	"recipt_price"	"log_sale_price"	"log_lot_size"	"resid"	"stand_resid"	"stud_resid"	"cooks_dist"	"dfbeta.(Intercept)"	"dfbeta.sq_ft_lot"	"dffit"	"leverage"	"covariance_ratios"
526787	2647	725.800936896612	1.89830045160568e-06	13.1745515712499	7.8811822022271	-117286.983080165	-0.292146517562044	-0.292136130465092	3.70987197092775e-06	-10.3419832485858	5.50841208613738e-05	-0.00272382384562664	8.69260083265499e-05	1.0002291762102
470000	12070	685.565460040104	2.12765957446809e-06	13.0604879736862	9.39847831409158	-182092.884862493	-0.453568009055664	-0.453554004953382	8.25072336165215e-06	-15.1414613967577	4.43661451575805e-05	-0.00406207185570057	8.02051687087398e-05	1.00020373271825
165000	278891	406.201920231798	6.06060606060606e-06	12.0137007528827	12.5385763034642	-714155.53926795	-1.7802667016612	-1.78041685363351	0.00263108767719474	42.272832620662	-0.00440318541523765	-0.0725469712727949	0.00165758078290312	1.00132247440186
803000	95013	896.102672688794	1.2453300124533e-06	13.5961099929289	11.4617690033259	80323.2490087097	0.200086487648756	0.200079021261199	4.09995120731711e-06	3.12757749866461	0.00014023618561882	0.00286344031790412	0.000204778434938593	1.00035412808247
507950	3099	712.70611053926	1.96869770646717e-06	13.1381382965197	8.03883475778775	-136508.631664014	-0.340025055997069	-0.340013366646298	5.00123832873153e-06	-12.0039847248026	6.26317052022817e-05	-0.00316256050389552	8.65063790889406e-05	1.00022404921997
765000	7611	874.642784226795	1.30718954248366e-06	13.5476311128087	8.93734984826739	116701.69043703	0.290688038427861	0.290677693581485	3.50088019945987e-06	9.98148203200813	-4.09147258100376e-05	0.00264598980689165	8.28546596580243e-05	1.00022523579177
589950	4737	768.082026869526	1.69505890329689e-06	13.2877930665281	8.46315930292375	-55902.557284247	-0.139245821055597	-0.139240513244952	8.24776798751568e-07	-4.86700590851269	2.34524788874321e-05	-0.00128430052698782	8.5067788884252e-05	1.00023757563422
501000	9649	707.813534767456	1.99600798403194e-06	13.124361380067	9.17460956202038	-149032.632160061	-0.371219770219873	-0.371207328606333	5.6177240187759e-06	-12.5847980765129	4.49649275496552e-05	-0.00335181964416592	8.15253727003814e-05	1.00021561615577
372500	47480	610.327780786685	2.68456375838926e-06	12.8279923168018	10.7680638487236	-309726.527238832	-0.771490576267778	-0.771478436095914	2.76858888696905e-05	-19.9076405398655	-0.00018758417460223	-0.00744110442696882	9.3022244659228e-05	1.00015598321093
513262	4958	716.423059372044	1.94832268899704e-06	13.1485417150268	8.50875771259514	-132778.626613961	-0.330733835379334	-0.330722385322518	4.64288193478031e-06	-11.5443676997676	5.50000455154425e-05	-0.00304714964048561	8.48835462571407e-05	1.00022339511728
482000	4080	694.262198308391	2.0746887966805e-06	13.0856993930327	8.31385226739821	-163293.455249758	-0.406742352027725	-0.406729156776321	7.08383810066298e-06	-14.2739109313536	7.10787400800863e-05	-0.00376387526101984	8.56293488147529e-05	1.00021542352772
765000	35348	874.642784226795	1.30718954248366e-06	13.5476311128087	10.4729970926379	93097.7130692656	0.231893625594988	0.231885096146998	2.20112573160904e-06	6.58593621965569	2.92941549935423e-05	0.00209807712545376	8.1858102456569e-05	1.00022901728665
372500	3279	610.327780786685	2.68456375838926e-06	12.8279923168018	8.09529377684465	-272111.8103036	-0.677794691828475	-0.677780448303563	1.98347132540919e-05	-23.9022306423125	0.000123673198785646	-0.00629823461442941	8.63419983304342e-05	1.00017041917828
